glossary_slug	cyrillic	slp1	iast_witness	validation	onomasticon	witness_count	iast_inline
ramayana3	Агастья	agastya	Agastya	onomasticon	inm,pui	2	Agastya
ramayana3	Агни	agni	Agni	onomasticon	inm,pui	2	Agni
ramayana3	Адити	aditi	Aditi	onomasticon	inm,pui	2	Aditi
ramayana3	Айодхья	ayoDyA	Ayodhyā	onomasticon	inm,pui	2	Ayodhyā
ramayana3	Айомукхи	ayomuKI	Ayomukhī	onomasticon	pui	1	Ayomukhī
ramayana3	Айравата	ErAvata	Airāvata	onomasticon	inm,pui	2	Airāvata
ramayana3	Акампана	akampana	Akampana	onomasticon	inm,pui	1	Akampana
ramayana3	Амаравати	amarAvatI	Amarāvatī	onomasticon	inm,pui	2	Amarāvatī
ramayana3	Анала	analA	Analā	onomasticon	inm	1	Analā
ramayana3	Ангирас	aNgiras	Aṅgiras	onomasticon	inm,pui	2	Aṅgiras
ramayana3	Андхака	anDaka	Andhaka	onomasticon	inm,pui	1	Andhaka
ramayana3	Анила	anila	Anila	onomasticon	inm,pui	1	Anila
ramayana3	Антака	antaka	Antaka	onomasticon	inm,pui	2	Antaka
ramayana3	Ариштанеми	arizwanemi	Ariṣṭanemi	onomasticon	inm,pui	2	Ariṣṭanemi
ramayana3	Аруна	aruRa	Aruṇa	onomasticon	inm,pui	1	Aruṇa
ramayana3	Арундхати	arunDatI	Arundhatī	onomasticon	inm,pui	1	Arundhatī
ramayana3	Атри	atri	Atri	onomasticon	inm,pui	2	Atri
ramayana3	Ашвагрива	aSvagrIva	Aśvagrīva	onomasticon	inm,pui	1	Aśvagrīva
ramayana3	Ашвины	aSvinO	Aśvinau	iast-witness-only		2	Aśvinau
ramayana3	Бала	bala	Bala	onomasticon	inm,pui	2	Bala
ramayana3	Бали	bali	Bali	onomasticon	inm,pui	2	Bali
ramayana3	Бахупутра	bahuputra	Bahuputra	onomasticon	pui	1	Bahuputra
ramayana3	Брахма	brahmA	Brahmā	onomasticon	pui	2	Brahmā
ramayana3	Брихаспати	bfhaspati	Bṛhaspati	onomasticon	inm,pui	2	Bṛhaspati
ramayana3	Будха	buDa	Budha	onomasticon	inm,pui	2	Budha
ramayana3	Бхага	Baga	Bhaga	onomasticon	inm,pui	2	Bhaga
ramayana3	Бхадрамада	BadramadA	Bhadramadā	iast-witness-only		1	Bhadramadā
ramayana3	Бхарата	Barata	Bharata	onomasticon	inm,pui	3	Bharata
ramayana3	Бхаси	BAsI	Bhāsī	onomasticon	inm,pui	1	Bhāsī
ramayana3	Бхогавати	BogavatI	Bhogavatī	onomasticon	inm,pui	2	Bhogavatī
ramayana3	Вайдехи	vEdehI	Vaidehī	onomasticon	inm	1	Vaidehī
ramayana3	Вайтарани	vEtarRI	Vaitarṇī	iast-witness-only		1	Vaitarṇī
ramayana3	Вайшравана	vESravaRa	Vaiśravaṇa	onomasticon	inm,pui	2	Vaiśravaṇa
ramayana3	Валин	vAlin	Vālin	onomasticon	inm	2	Vālin
ramayana3	Варуна	varuRa	Varuṇa	onomasticon	inm,pui	2	Varuṇa
ramayana3	Васава	vAsava	Vāsava	onomasticon	inm,pui	2	Vāsava
ramayana3	Васиштха	vasizWa	Vasiṣṭha	onomasticon	inm,pui	2	Vasiṣṭha
ramayana3	Васуки	vAsuki	Vāsuki	onomasticon	inm,pui	2	Vāsuki
ramayana3	Ватапи	vAtApi	Vātāpi	onomasticon	inm,pui	1	Vātāpi
ramayana3	Ваю	vAyu	Vāyu	onomasticon	inm,pui	2	Vāyu
ramayana3	Вибхишана	viBIzaRa	Vibhīṣaṇa	onomasticon	inm,pui	2	Vibhīṣaṇa
ramayana3	Вивасват	vivasvat	Vivasvat	onomasticon	inm,pui	2	Vivasvat
ramayana3	Видеха	videha	Videha	onomasticon	inm,pui	2	Videha
ramayana3	Видхатар	viDAtf	Vidhātṛ	onomasticon	inm	1	Vidhātṛ
ramayana3	Видхатар	viDatf	Vidhatṛ	iast-witness-only		1	Vidhātṛ
ramayana3	Викрита	vikfta	Vikṛta	onomasticon	inm,pui	1	Vikṛta
ramayana3	Вината	vinatA	Vinatā	onomasticon	inm,pui	2	Vinatā
ramayana3	Виндхья	vinDya	Vindhya	onomasticon	inm,pui	2	Vindhya
ramayana3	Вирадха	virADa	Virādha	onomasticon	pui	2	Virādha
ramayana3	Вишвакарман	viSvakarman	Viśvakarman	onomasticon	inm	2	Viśvakarman
ramayana3	Вишвамитра	viSvAmitra	Viśvāmitra	onomasticon	inm,pui	2	Viśvāmitra
ramayana3	Вишну	vizRu	Viṣṇu	onomasticon	inm,pui	2	Viṣṇu
ramayana3	Вишравас	viSravas	Viśravas	onomasticon	inm,pui	2	Viśravas
ramayana3	Вритра	vftra	Vṛtra	onomasticon	inm,pui	2	Vṛtra
ramayana3	Ганга	gaNgA	Gaṅgā	onomasticon	inm	2	Gaṅgā
ramayana3	Гандхарви	ganDarvI	Gandharvī	onomasticon	inm	1	Gandharvī
ramayana3	Гаруда	gAruqa	Gāruḍa	onomasticon	inm	1	Garuḍa
ramayana3	Гаруда	garuqa	Garuḍa	onomasticon	inm,pui	1	Garuḍa
ramayana3	Гаутама	gOtama	Gautama	onomasticon	inm,pui	2	Gautama
ramayana3	Гаятри	gAyatrI	Gāyatrī	onomasticon	inm,pui	1	Gāyatrī
ramayana3	Годавари	godAvarI	Godāvarī	onomasticon	inm	1	Godāvarī
ramayana3	Дакша	dakza	Dakṣa	onomasticon	inm,pui	2	Dakṣa
ramayana3	Дандака	daRqaka	Daṇḍaka	onomasticon	inm,pui	1	Dandaka
ramayana3	Дандака	dandaka	Dandaka	iast-witness-only		1	Dandaka
ramayana3	Дану	danU	Danū	iast-witness-only		1	Danū
ramayana3	Дашагрива	daSagrIva	Daśagrīva	onomasticon	inm,pui	2	Daśagrīva
ramayana3	Дашаратха	daSaraTa	Daśaratha	onomasticon	inm,pui	2	Daśaratha
ramayana3	Джава	java	Java	lexicon		1	Java
ramayana3	Джанака	janaka	Janaka	onomasticon	inm,pui	3	Janaka
ramayana3	Джанастхана	janasTAna	Janasthāna	onomasticon	inm,pui	2	Janasthāna
ramayana3	Джатаюс	jatAyus	Jatāyus	iast-witness-only		1	Jatāyus
ramayana3	Джатаюс	jawAyus	Jaṭāyus	lexicon		1	Jatāyus
ramayana3	Дити	diti	Diti	onomasticon	inm,pui	2	Diti
ramayana3	Душана	dUzaRa	Dūṣaṇa	onomasticon	inm,pui	2	Dūṣaṇa
ramayana3	Дхарма	Darma	Dharma	onomasticon	inm,pui	2	Dharma
ramayana3	Дхармабхрит	DarmaBft	Dharmabhṛt	onomasticon	pui	1	Dharmabhṛt
ramayana3	Дхатар	DAtf	Dhātṛ	onomasticon	inm,pui	2	Dhātṛ
ramayana3	Дхритараштри	DftarAzwrI	Dhṛtarāṣṭrī	onomasticon	inm,pui	1	Dhṛtarāṣṭrī
ramayana3	Икшваку	ikzvAku	Ikṣvāku	onomasticon	inm,pui	2	Ikṣvāku
ramayana3	Илвала	ilvala	Ilvala	onomasticon	inm,pui	1	Ilvala
ramayana3	Индра	indra	Indra	onomasticon	inm,pui	2	Indra
ramayana3	Иравати	irAvatI	Irāvatī	onomasticon	inm,pui	1	Irāvatī
ramayana3	Кабандха	kabanDa	Kabandha	onomasticon	inm,pui	2	Kabandha
ramayana3	Кадру	kadrU	Kadrū	onomasticon	inm,pui	1	Kadrū
ramayana3	Кайкейи	kEkeyI	Kaikeyī	onomasticon	inm,pui	2	Kaikeyī
ramayana3	Кайласа	kElAsa	Kailāsa	onomasticon	inm,pui	2	Kailāsa
ramayana3	Какутстха	kAkutsTa	Kākutstha	onomasticon	inm	1	Kakutstha
ramayana3	Какутстха	kakutsTa	Kakutstha	onomasticon	inm,pui	2	Kakutstha
ramayana3	Кала	kAla	Kāla	onomasticon	inm,pui	2	Kāla
